T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__streptococcus_parasanguinis,,,m__hmdb00296,s__streptococcus_parasanguinis,,0.375,0.375,0.4,0.05625,FALSE,FALSE,FALSE,TRUE
s__bacteroides_ovatus,,,m__hmdb00239,s__bacteroides_ovatus,,0.5,0.125,0.5,0.03125,FALSE,FALSE,FALSE,TRUE
s__odoribacter_splanchnicus,,,m__hmdb00043,s__odoribacter_splanchnicus,,0.375,0.375,0.2,0.028125,FALSE,FALSE,FALSE,TRUE
s__escherichia_coli,,,m__hmdb01257,s__escherichia_coli,,0.125,0.5,0.4,0.025,FALSE,FALSE,FALSE,TRUE
s__eubacterium_siraeum,,,m__hmdb00097,s__eubacterium_siraeum,,0.25,0.25,0.4,0.025,FALSE,FALSE,FALSE,TRUE
s__klebsiella_pneumoniae,,,m__hmdb00097,s__klebsiella_pneumoniae,,0.25,0.25,0.4,0.025,FALSE,FALSE,FALSE,TRUE
s__bacteroides_faecis,,,m__hmdb00030,s__bacteroides_faecis,,0.125,0.125,1,0.015625,FALSE,FALSE,FALSE,TRUE
s__bacteroides_finegoldii,,,m__hmdb00619,s__bacteroides_finegoldii,,0.125,0.125,0.9,0.0140625,FALSE,FALSE,FALSE,TRUE
s__bacteroides_fragilis,,,m__hmdb02322,s__bacteroides_fragilis,,0.125,0.125,0.9,0.0140625,FALSE,FALSE,FALSE,TRUE
s__akkermansia_muciniphila,,,m__hmdb00030,s__akkermansia_muciniphila,,0.125,0.125,0.8,0.0125,FALSE,FALSE,FALSE,TRUE
s__clostridium_clostridioforme,,,m__hmdb00030,s__clostridium_clostridioforme,,0.125,0.125,0.8,0.0125,FALSE,FALSE,FALSE,TRUE
s__bacteroides_caccae,,,m__hmdb00056,s__bacteroides_caccae,,0.125,0.125,0.6,0.009375,FALSE,FALSE,FALSE,TRUE
s__bacteroides_stercoris,,,m__hmdb00043,s__bacteroides_stercoris,,0.125,0.125,0.6,0.009375,FALSE,FALSE,FALSE,TRUE
s__bacteroides_xylanisolvens,,,m__hmdb00296,s__bacteroides_xylanisolvens,,0.125,0.125,0.5,0.0078125,FALSE,FALSE,FALSE,TRUE
s__bacteroides_ovatus,,,m__hmdb00239,s__ruminococcus_torques,,0.5,0.125,0.1,0.00625,FALSE,FALSE,FALSE,TRUE
s__bacteroides_thetaiotaomicron,,,m__hmdb00043,s__bacteroides_thetaiotaomicron,,0.125,0.125,0.3,0.0046875,FALSE,FALSE,FALSE,TRUE
s__bacteroides_fragilis,,,m__hmdb01257,s__roseburia_intestinalis,,0.25,0.125,0.1,0.003125,FALSE,FALSE,FALSE,TRUE
s__roseburia_intestinalis,,,m__hmdb01257,s__bacteroides_fragilis,,0.125,0.25,0.1,0.003125,FALSE,FALSE,FALSE,TRUE
s__roseburia_intestinalis,,,m__hmdb00239,s__roseburia_intestinalis,,0.125,0.125,0.2,0.003125,FALSE,FALSE,FALSE,TRUE
s__ruminococcus_torques,,,m__hmdb00239,s__bacteroides_ovatus,,0.125,0.125,0.2,0.003125,FALSE,FALSE,FALSE,TRUE
s__bacteroides_faecis,,,m__hmdb00030,s__clostridium_clostridioforme,,0.125,0.125,0.1,0.0015625,FALSE,FALSE,FALSE,TRUE
s__clostridium_clostridioforme,,,m__hmdb00030,s__bacteroides_faecis,,0.125,0.125,0.1,0.0015625,FALSE,FALSE,FALSE,TRUE
s__bacteroides_caccae,,,m__hmdb00239,s__ruminococcus_torques,,0.125,0.125,0.1,0.0015625,FALSE,FALSE,FALSE,TRUE
s__ruminococcus_torques,,,m__hmdb00239,s__bacteroides_ovatus,,0.125,0.125,0.1,0.0015625,FALSE,FALSE,FALSE,TRUE
s__clostridium_bolteae,,,m__hmdb00056,s__clostridium_bolteae,,0.125,0.125,0.1,0.0015625,FALSE,FALSE,FALSE,TRUE
s__bacteroides_finegoldii,s__eubacterium_eligens,,,s__bacteroides_finegoldii,0.6667,,0.6667,0.9,0.400040001,TRUE,FALSE,FALSE,FALSE
s__clostridium_clostridioforme,s__eubacterium_eligens,,,s__clostridium_clostridioforme,0.6667,,0.6667,0.8,0.355591112,TRUE,FALSE,FALSE,FALSE
s__bacteroides_ovatus,s__bacteroides_dorei,,,s__bacteroides_ovatus,0.6667,,0.6667,0.5,0.222244445,TRUE,FALSE,FALSE,FALSE
s__roseburia_inulinivorans,s__clostridium_bolteae,,,s__roseburia_inulinivorans,0.3333,,0.3333,0.9,0.099980001,TRUE,FALSE,FALSE,FALSE
s__bacteroides_cellulosilyticus,s__eubacterium_siraeum,,,s__bacteroides_cellulosilyticus,0.3333,,0.3333,0.8,0.088871112,TRUE,FALSE,FALSE,FALSE
s__bacteroides_caccae,s__anaerotruncus_colihominis,,,s__bacteroides_caccae,0.3333,,0.3333,0.6,0.066653334,TRUE,FALSE,FALSE,FALSE
s__bacteroides_uniformis,s__bacteroides_caccae,,,s__bacteroides_uniformis,0.3333,,0.3333,0.6,0.066653334,TRUE,FALSE,FALSE,FALSE
s__haemophilus_parainfluenzae,s__bacteroides_dorei,,,s__haemophilus_parainfluenzae,0.3333,,0.3333,0.6,0.066653334,TRUE,FALSE,FALSE,FALSE
s__streptococcus_parasanguinis,s__klebsiella_pneumoniae,,,s__klebsiella_pneumoniae,0.3333,,0.3333,0.6,0.066653334,TRUE,FALSE,FALSE,FALSE
s__klebsiella_pneumoniae,s__streptococcus_parasanguinis,,,s__streptococcus_parasanguinis,0.3333,,0.3333,0.6,0.066653334,TRUE,FALSE,FALSE,FALSE
s__eubacterium_siraeum,s__eubacterium_siraeum,,,s__roseburia_intestinalis,0.3333,,0.6667,0.2,0.044442222,TRUE,FALSE,FALSE,FALSE
s__akkermansia_muciniphila,s__anaerotruncus_colihominis,,,s__bacteroides_caccae,0.3333,,0.3333,0.4,0.044435556,TRUE,FALSE,FALSE,FALSE
s__streptococcus_parasanguinis,s__bacteroides_ovatus,,,s__streptococcus_parasanguinis,0.3333,,0.3333,0.4,0.044435556,TRUE,FALSE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,s__akkermansia_muciniphila,,,s__akkermansia_muciniphila,0.3333,,0.3333,0.4,0.044435556,TRUE,FALSE,FALSE,FALSE
s__akkermansia_muciniphila,s__akkermansia_muciniphila,,,s__bacteroides_thetaiotaomicron,0.3333,,0.3333,0.4,0.044435556,TRUE,FALSE,FALSE,FALSE
s__escherichia_coli,s__anaerotruncus_colihominis,,,s__escherichia_coli,0.3333,,0.3333,0.4,0.044435556,TRUE,FALSE,FALSE,FALSE
s__eubacterium_siraeum,s__bacteroides_cellulosilyticus,,,s__eubacterium_siraeum,0.3333,,0.3333,0.4,0.044435556,TRUE,FALSE,FALSE,FALSE
s__klebsiella_pneumoniae,s__streptococcus_parasanguinis,,,s__klebsiella_pneumoniae,0.3333,,0.3333,0.4,0.044435556,TRUE,FALSE,FALSE,FALSE
s__bacteroides_fragilis,s__bacteroides_fragilis,,,s__roseburia_intestinalis,1,,0.3333,0.1,0.03333,TRUE,FALSE,FALSE,FALSE
s__roseburia_intestinalis,s__bacteroides_fragilis,,,s__bacteroides_fragilis,0.3333,,1,0.1,0.03333,TRUE,FALSE,FALSE,FALSE
s__bacteroides_cellulosilyticus,s__bacteroides_faecis,,,s__bacteroides_faecis,0.3333,,1,0.1,0.03333,TRUE,FALSE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,s__sutterella_wadsworthensis,,,s__bacteroides_thetaiotaomicron,0.3333,,0.3333,0.3,0.033326667,TRUE,FALSE,FALSE,FALSE
s__eubacterium_siraeum,s__eubacterium_siraeum,,,s__roseburia_intestinalis,0.3333,,0.6667,0.1,0.022221111,TRUE,FALSE,FALSE,FALSE
s__roseburia_intestinalis,s__eubacterium_siraeum,,,s__eubacterium_siraeum,0.6667,,0.3333,0.1,0.022221111,TRUE,FALSE,FALSE,FALSE
s__akkermansia_muciniphila,s__anaerotruncus_colihominis,,,s__bacteroides_caccae,0.3333,,0.3333,0.2,0.022217778,TRUE,FALSE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,s__akkermansia_muciniphila,,,s__akkermansia_muciniphila,0.3333,,0.3333,0.2,0.022217778,TRUE,FALSE,FALSE,FALSE
s__escherichia_coli,s__ruminococcus_gnavus,,,s__ruminococcus_torques,0.3333,,0.3333,0.2,0.022217778,TRUE,FALSE,FALSE,FALSE
s__ruminococcus_torques,s__ruminococcus_gnavus,,,s__escherichia_coli,0.3333,,0.3333,0.2,0.022217778,TRUE,FALSE,FALSE,FALSE
s__faecalibacterium_prausnitzii,s__eubacterium_eligens,,,s__faecalibacterium_prausnitzii,0.3333,,0.3333,0.2,0.022217778,TRUE,FALSE,FALSE,FALSE
s__odoribacter_splanchnicus,s__clostridium_asparagiforme,,,s__odoribacter_splanchnicus,0.3333,,0.3333,0.2,0.022217778,TRUE,FALSE,FALSE,FALSE
s__clostridium_bolteae,s__bacteroides_fragilis,,,s__roseburia_intestinalis,0.3333,,0.3333,0.2,0.022217778,TRUE,FALSE,FALSE,FALSE
s__roseburia_intestinalis,s__bacteroides_fragilis,,,s__roseburia_intestinalis,0.3333,,0.3333,0.2,0.022217778,TRUE,FALSE,FALSE,FALSE
s__bacteroides_cellulosilyticus,s__eubacterium_siraeum,,,s__eubacterium_siraeum,0.3333,,0.3333,0.1,0.011108889,TRUE,FALSE,FALSE,FALSE
s__escherichia_coli,s__ruminococcus_gnavus,,,s__ruminococcus_torques,0.3333,,0.3333,0.1,0.011108889,TRUE,FALSE,FALSE,FALSE
s__eubacterium_rectale,s__ruminococcus_lactaris,,,s__faecalibacterium_prausnitzii,0.3333,,0.3333,0.1,0.011108889,TRUE,FALSE,FALSE,FALSE
s__clostridium_clostridioforme,s__bacteroides_cellulosilyticus,,,s__bacteroides_faecis,0.3333,,0.3333,0.1,0.011108889,TRUE,FALSE,FALSE,FALSE
s__eubacterium_siraeum,s__eubacterium_siraeum,,,s__bacteroides_cellulosilyticus,0.3333,,0.3333,0.1,0.011108889,TRUE,FALSE,FALSE,FALSE
s__ruminococcus_torques,s__bacteroides_ovatus,,,s__bacteroides_caccae,0.3333,,0.3333,0.1,0.011108889,TRUE,FALSE,FALSE,FALSE
s__bifidobacterium_longum,s__dialister_invisus,,,s__bifidobacterium_longum,0.3333,,0.3333,0.1,0.011108889,TRUE,FALSE,FALSE,FALSE
s__clostridium_bolteae,s__roseburia_inulinivorans,,,s__clostridium_bolteae,0.3333,,0.3333,0.1,0.011108889,TRUE,FALSE,FALSE,FALSE
